start	end	text
1472000	1473000	va benissimo
1473000	1474000	ma se tu vuoi
1474000	1475000	fare un ragionamento
1475000	1476000	o comunque vuoi
1476000	1477000	ad esempio
1477000	1478000	il sistema dei AI
1478000	1479000	rendere i AI
1479000	1480000	in grado di fare
1480000	1481000	questo ragionamento
1481000	1482000	gliela devi dare
1482000	1483000	tutte e tre
1483000	1484000	nei database
1484000	1485000	ti danno
1485000	1486000	il modello
1486000	1487000	non te lo dicono
1487000	1488000	per la UNIGNI
1488000	1489000	il modello
1489000	1490000	sono le stringhe
1490000	1491000	quello che metti dentro
1491000	1492000	lo vedremo più avanti
1492000	1493000	nella lezione
1493000	1494000	3
1494000	1496000	nei database
1496000	1498000	il modello
1498000	1499000	e il word model
1499000	1500000	coincidono
1500000	1501000	e sono fatti apposta
1501000	1502000	perché
1502000	1503000	fatti bene così
1503000	1504000	perché sono velocemente
1504000	1505000	efficienti
1505000	1506000	ma hanno problemi
1506000	1507000	che appunto
1507000	1508000	perché hanno bloccato
1508000	1509000	la descrizione
1509000	1510000	hanno problemi
1510000	1511000	che sono talmente rigidi
1511000	1512000	che non si riescono
1512000	1513000	a utilizzare
1513000	1514000	in applicazioni
1514000	1515000	come lo web
1515000	1516000	o in applicazioni
1516000	1517000	sono troppo rigide
1517000	1518000	perché hanno precompilato
1518000	1519000	troppe assunzioni
1519000	1520000	in questo
1520000	1521000	metodo
1521000	1522000	reale
1522000	1523000	dei database
1523000	1524000	le sezioni
1524000	1525000	internazionali
1525000	1526000	graff
1526000	1527000	qui diventano
1527000	1528000	proposizioni
1528000	1529000	atomic propositions
1529000	1530000	and propositions
1530000	1531000	perché ho usato
1531000	1532000	la parola
1532000	1533000	propositions
1533000	1534000	perché si trova
1534000	1535000	sotto i livelli
1535000	1536000	di logica
1536000	1537000	ed io ho scelto
1537000	1538000	questa A qua
1538000	1539000	è una proposizione atomica
1539000	1540000	ci vorrei che la teoretica
1540000	1541000	che ho voluto
1541000	1542000	una atomica
1542000	1543000	e che A
1543000	1544000	qual'è che puoi sapere
1544000	1545000	di A?
1545000	1546000	tre cose
1546000	1547000	che non sei niente
1547000	1548000	o che è vero
1548000	1549000	o che fa
1549000	1550000	non caccia delle cose
1550000	1552000	in una posizione atomica
1552000	1553000	è una cosa
1553000	1554000	di cui
1554000	1555000	o non sei niente
1555000	1556000	o sei vero o sei che fa
1556000	1557000	è una sola delle tre
1557000	1558000	ok
1558000	1560000	si chiama
1560000	1562000	il principio del terzo escluso
1562000	1563000	perché in logica
1563000	1564000	poi uno dice
1564000	1565000	in realtà
1565000	1566000	devi sapere uno
1566000	1567000	in certe logiche
1567000	1568000	ti dicono
1568000	1569000	non ti è permesso
1569000	1570000	di non sapere
1570000	1571000	però in generale
1571000	1573000	sono le tre opzioni
1573000	1574000	non è vero
1574000	1575000	non è vero
1575000	1576000	e poi
1576000	1577000	la proposizione
1577000	1578000	che è una proposizione composta
1578000	1580000	è questa
1580000	1581000	è IFA A
1581000	1582000	ben B
1582000	1583000	perché questa
1583000	1584000	è composta
1584000	1585000	perché qui
1585000	1588000	ha la struttura
1588000	1589000	la struttura di
1589000	1590000	vado in
1590000	1591000	più sul mio GBA
1591000	1592000	ma ti chiediamo
1592000	1593000	che poi con le tre
1593000	1594000	delle tabelle di verità
1594000	1595000	che c'è la replicazione
1595000	1596000	è ovvio
1596000	1597000	perché io voglio dire
1597000	1598000	è vero
1598000	1599000	ma di vero
1599000	1601000	se c'è il vaso
1609000	1610000	e notate ovviamente
1610000	1611000	che uno dice
1611000	1612000	pretenchiamo
1612000	1612700	cos'è la
1612700	1613700	la
1613700	1614020	o un'altra
1614020	1615000	filetina
1615000	1616200	la
1616200	1616900	uno dice
1616900	1618000	quant'è grossa la
1618000	1619000	e la può essere
1619000	1620000	quello che vuole
1620000	1622000	o non può essere
1622000	1622960	addirittura un'interna
1622960	1623640	luga
1625000	1627000	e faccio un esempio
1627000	1634000	che si vede sui giornali oggi. Se Putin, se gli ursi attraversano la portiera europea,
1634000	1640000	allora facciamo la testa per la mondiale.
1644000	1648000	E questo per dire che quando arriviamo qua in cima,
1648000	1652000	il ragionamento che noi facciamo, e lo voglio fare come tutti noi abitamente,
1652000	1660000	noi abbiamo completamente estratto da A e la MI, che può descrivere una situazione arbitraria
1660000	1665000	e la vita è complessa, e poi puoi essere più o meno d'accordo su IF A e B.
1665000	1672000	Quello è un problema diverso, ma se sei d'accordo, la regola di deduzione ti garantisce che è toccata l'opinzione.
1672000	1678000	E' chiaro? Quindi tutto il problema se con il sistema DI, se fai un specifico del sistema,
1678000	1683000	e scrivere queste cose qua. O se fai machine learning, come le impari?
1683000	1689000	Secondo se chi, sei a posto.
1689000	1695000	E qui non c'è niente di nuovo se non il fatto che, man mano che vai su,
1695000	1701000	i concetti di sopra sono generati, non dalle percezioni.
1701000	1708000	Cioè il concetto, la parola, quando io dico casa, che è una singola parola,
1708000	1714000	una casa è quattro muri, tetto, non ho detto complesso.
1714000	1716000	Provo a decidere anche in finestra.
1716000	1723000	Eh sì, ma in finestra c'è il vetro, c'è la pendina, c'è il frame e così via.
1723000	1730000	Quindi per dire, comunque sia, il livello della stazione a cui tu descrivi il mondo è la tua scelta,
1730000	1734000	che riprende la prega di Ulis Auber, ma comunque sia, quando sali linguisticamente,
1734000	1739000	hai la grande, quello che c'è la resilienza in quanto umano,
1739000	1744000	e tu hai la possibilità di scegliere il livello di dettaglio a cui descrivi il mondo.
1744000	1748000	e andando su uguale, identico, perché poi a questo punto fai le sezioni,
1748000	1752000	le vedremo, vado nelle sezioni e fai un knowledge graph quanto grosso vuoi,
1752000	1757000	e lo metti insieme quanto vuoi, e così via.
1757000	1761000	In effetti, noi, come vedrai tu già dalla prossima lezione,
1761000	1766000	che sarà da tre quattro volte di esercitazioni, tutto quello...
